Date,Headcount,Hires,Voluntary_Terminations,Involuntary_Terminations,Total_Terminations,Attrition_Rate_Pct,Avg_Engagement_Score,Avg_Satisfaction_Score,Open_Requisitions
2006-01-01,121,3,2,0,2,1.66,3.54,3.29,0
2006-02-01,121,3,3,0,3,2.48,3.39,3.36,2
2006-03-01,121,3,3,0,3,2.48,3.56,3.38,2
2006-04-01,121,2,1,1,2,1.65,3.59,3.28,2
2006-05-01,124,5,0,2,2,1.63,3.5,3.49,1
2006-06-01,124,0,0,0,0,0.0,3.83,3.81,0
2006-07-01,124,0,0,0,0,0.0,3.92,4.11,0
2006-08-01,124,2,2,0,2,1.61,3.51,3.4,4
2006-09-01,127,3,0,0,0,0.0,3.94,4.11,4
2006-10-01,130,4,1,0,1,0.78,3.65,3.68,5
2006-11-01,129,2,2,1,3,2.32,3.68,3.16,4
2006-12-01,131,3,1,0,1,0.77,3.45,3.53,3
2007-01-01,131,0,0,0,0,0.0,3.83,3.67,1
2007-02-01,130,3,4,0,4,3.07,3.16,2.96,7
2007-03-01,131,1,0,0,0,0.0,3.83,3.83,3
2007-04-01,134,4,1,0,1,0.75,3.83,3.54,0
2007-05-01,135,2,1,0,1,0.74,3.57,3.45,0
2007-06-01,137,2,0,0,0,0.0,4.02,3.88,0
2007-07-01,136,0,1,0,1,0.73,4.08,3.55,2
2007-08-01,139,3,0,0,0,0.0,3.89,3.83,2
2007-09-01,137,0,1,1,2,1.45,3.67,3.47,0
2007-10-01,138,2,1,0,1,0.73,3.84,3.59,5
2007-11-01,138,0,0,0,0,0.0,3.79,4.08,5
2007-12-01,143,6,1,0,1,0.71,3.6,3.64,5
2008-01-01,141,0,2,0,2,1.41,3.28,3.5,0
2008-02-01,142,3,2,0,2,1.41,3.67,3.25,4
2008-03-01,146,7,2,1,3,2.08,3.51,3.28,5
2008-04-01,145,1,2,0,2,1.37,3.58,3.59,3
2008-05-01,147,3,1,0,1,0.68,3.87,3.62,0
2008-06-01,145,0,1,1,2,1.37,3.68,3.75,1
2008-07-01,146,2,1,0,1,0.69,3.79,3.63,2
2008-08-01,146,1,1,0,1,0.68,3.89,3.74,0
2008-09-01,145,0,1,0,1,0.69,3.61,3.67,0
2008-10-01,144,0,0,1,1,0.69,3.85,3.73,0
2008-11-01,143,1,1,1,2,1.39,3.39,3.43,0
2008-12-01,139,0,3,1,4,2.84,3.21,3.14,0
2009-01-01,137,0,2,0,2,1.45,3.78,3.43,1
2009-02-01,133,0,2,2,4,2.96,3.45,3.05,2
