Target,Method,MAE,RMSE,MAPE_%
Attrition_Rate_Pct,Attrition_Rate_Pct - auto_arima,0.5301568553924857,0.643024960527526,33.69696387705667
Attrition_Rate_Pct,"Attrition_Rate_Pct - ARIMA(3,0,6)",0.5388993979636943,0.6713037216717204,30.625348542025094
Attrition_Rate_Pct,Attrition_Rate_Pct - AR(3),0.5485047325623791,0.7127046188040138,28.285768941835116
Attrition_Rate_Pct,Attrition_Rate_Pct - MA(6),0.5546732346739689,0.7272710377178631,27.94014868428049
Attrition_Rate_Pct,"Attrition_Rate_Pct - SARIMAX(1, 1, 1, 12)",0.6523735328265724,0.7979445597791848,40.14938066356566
Headcount,"Headcount - SARIMAX(1, 1, 1, 12)",2.1760323143826192,3.0177362100602916,0.42974986586039554
Headcount,Headcount - auto_arima,8.617027160807615,10.792792673619696,1.6998561899176998
Headcount,Headcount - AR(3),19.260343735358607,23.54010836973323,3.8042935481691984
Headcount,"Headcount - ARIMA(3,1,5)",20.982100155219637,25.828038007885947,4.142274015733833
Headcount,Headcount - MA(5),24.15923809255389,28.89495099628612,4.778796204526507
