Origin,Target,Method,MAE,RMSE,MAPE_%,Family
1,Headcount,Naive,5.333333333333333,6.164414002968976,1.5193518361268414,Naive
1,Headcount,SMA(12),15.680555555555552,18.80710440035695,4.431393685600479,SMA
1,Headcount,WMA(12),14.331196581196588,17.026165551594808,4.047793295207547,WMA
1,Headcount,SES,14.25,18.91868561797639,3.9817286789880377,SES
1,Headcount,Holt,25.345993341039275,35.87543552573409,7.014768810249734,Holt
1,Headcount,Holt-Winters,25.039573520457186,35.670352485038485,6.925572749587243,Holt-Winters
1,Headcount,AR(0),14.25,18.918685648497537,3.981728678107735,AR
1,Headcount,MA(0),14.25,18.918685648497537,3.981728678107735,MA
1,Headcount,"ARIMA(0,1,0)",14.25,18.918685648497537,3.981728678107735,ARIMA
1,Headcount,"SARIMAX(1, 1, 1, 12)",10.958858159717671,12.159771311110449,3.166634927313474,SARIMAX
1,Headcount,"auto_arima(2, 1, 1)x(1, 0, 0, 12)",14.098029874110518,19.47954631223861,3.915410337208209,auto_arima
1,Attrition_Rate_Pct,Naive,1.0108333333333337,1.1816196511568349,40.746617536452426,Naive
1,Attrition_Rate_Pct,SMA(12),0.945625,1.1100355297533566,35.441731550211955,SMA
1,Attrition_Rate_Pct,WMA(12),0.8880341880341881,1.0380597658473052,35.00205455398513,WMA
1,Attrition_Rate_Pct,SES,1.1156640623246568,1.3012670478510868,34.44163792056623,SES
1,Attrition_Rate_Pct,Holt,1.0969056743466334,1.2775128433636609,34.077334817414645,Holt
1,Attrition_Rate_Pct,Holt-Winters,1.4857622155343089,1.683125946381546,46.03847831596915,Holt-Winters
1,Attrition_Rate_Pct,AR(0),1.6356597549222665,1.830511897282995,50.19326222878803,AR
1,Attrition_Rate_Pct,MA(0),1.6356597549222665,1.830511897282995,50.19326222878803,MA
1,Attrition_Rate_Pct,"ARIMA(0,0,0)",1.6356597549222665,1.830511897282995,50.19326222878803,ARIMA
1,Attrition_Rate_Pct,"SARIMAX(1, 1, 1, 12)",1.6380012907344277,1.8193590281990333,51.66821314458186,SARIMAX
1,Attrition_Rate_Pct,"auto_arima(3, 0, 0)x(0, 0, 0, 12)",1.4815148472688726,1.668554512306749,45.3146484938486,auto_arima
2,Headcount,Naive,4.75,5.107184482014854,1.1596564491544663,Naive
2,Headcount,SMA(12),36.895833333333336,37.27406474719088,8.99392559988581,SMA
2,Headcount,WMA(12),25.95192307692308,26.38206138536273,6.337489835122484,WMA
2,Headcount,SES,33.833333467443786,37.32514803375164,8.060291185405703,SES
2,Headcount,Holt,18.05296435353392,21.66901636673289,4.270764758609884,Holt
2,Headcount,Holt-Winters,18.71350790315724,22.711710187588366,4.422549851665616,Holt-Winters
2,Headcount,AR(3),2.417085126968255,3.2875307119874693,0.5699077011961671,AR
2,Headcount,MA(4),25.90165670261572,29.73952827295314,6.147724646070433,MA
2,Headcount,"ARIMA(3,1,4)",20.21910169433581,26.563658008322264,4.750350086900919,ARIMA
2,Headcount,"SARIMAX(1, 1, 1, 12)",11.233684020857126,15.607132109127328,2.63117514749448,SARIMAX
2,Headcount,"auto_arima(3, 1, 0)x(0, 0, 2, 12)",7.926836431054501,10.642350899813026,1.8616935513175528,auto_arima
2,Attrition_Rate_Pct,Naive,0.9675,1.2895251063860678,76.65164541569024,Naive
2,Attrition_Rate_Pct,SMA(12),0.7315277777777779,0.974337738044554,61.30613331751486,SMA
2,Attrition_Rate_Pct,WMA(12),0.7499252136752137,0.9935956995961548,61.55695701495107,WMA
2,Attrition_Rate_Pct,SES,0.7211104069650403,0.9874621823390822,59.585549743052205,SES
2,Attrition_Rate_Pct,Holt,0.7544431412997126,1.017804858979881,62.47906008084225,Holt
2,Attrition_Rate_Pct,Holt-Winters,0.8171603015515742,1.0420237936762895,65.5683549937743,Holt-Winters
2,Attrition_Rate_Pct,AR(3),0.9459172383327984,1.198574336306869,48.11454936172259,AR
2,Attrition_Rate_Pct,MA(3),1.1006979654463798,1.3412579012788004,51.81146037416965,MA
2,Attrition_Rate_Pct,"ARIMA(3,0,3)",0.8315526226278873,1.1214175225187475,43.60090523756974,ARIMA
2,Attrition_Rate_Pct,"SARIMAX(1, 1, 1, 12)",0.7048895146187554,0.9985116369855878,45.45281753025923,SARIMAX
2,Attrition_Rate_Pct,"auto_arima(0, 1, 1)x(0, 0, 0, 12)",0.7211442905504689,0.9874884370659652,59.5890404540267,auto_arima
3,Headcount,Naive,2.4166666666666665,3.2015621187164243,0.5359406420500891,Naive
3,Headcount,SMA(12),18.763888888888896,19.51017659429922,4.165065634665058,SMA
3,Headcount,WMA(12),12.545940170940176,13.170235932131176,2.7855295650154392,WMA
3,Headcount,SES,16.333333392937977,17.658803336591593,3.5895795672158406,SES
3,Headcount,Holt,7.779715496948573,9.721650793876693,1.7032113957844437,Holt
3,Headcount,Holt-Winters,8.318268450011809,10.346509755018673,1.821577733946132,Holt-Winters
3,Headcount,AR(3),2.6016760477019907,2.955790370291324,0.57281924808471,AR
3,Headcount,MA(5),12.688452589814624,14.163434850791251,2.785091987702974,MA
3,Headcount,"ARIMA(3,1,5)",6.696424395306384,7.935135972463247,1.4674096718480392,ARIMA
3,Headcount,"SARIMAX(1, 1, 1, 12)",2.6653965981835483,3.148384083313552,0.5905166381817658,SARIMAX
3,Headcount,"auto_arima(1, 1, 2)x(0, 0, 2, 12)",2.495437974332186,3.2890625910881064,0.5477923500989818,auto_arima
3,Attrition_Rate_Pct,Naive,0.8650000000000001,1.0726602444390303,42.98341441086724,Naive
3,Attrition_Rate_Pct,SMA(12),0.6646527777777776,0.7927824374035765,30.17124033135892,SMA
3,Attrition_Rate_Pct,WMA(12),0.7177350427350427,0.8378167313982897,33.59622816263545,WMA
3,Attrition_Rate_Pct,SES,0.6694217257606071,0.773294556088831,29.320881201274624,SES
3,Attrition_Rate_Pct,Holt,0.6551943991320299,0.7675469545911235,29.36253838567629,Holt
3,Attrition_Rate_Pct,Holt-Winters,0.5823143426080112,0.7267538343582366,26.958645506599805,Holt-Winters
3,Attrition_Rate_Pct,AR(3),0.8569290702340533,1.0476649101504556,30.29721487207821,AR
3,Attrition_Rate_Pct,MA(5),0.8954014325869796,1.0948876829370662,31.34885393636165,MA
3,Attrition_Rate_Pct,"ARIMA(3,0,5)",0.8000670723282014,0.9466971712521404,29.930844640177305,ARIMA
3,Attrition_Rate_Pct,"SARIMAX(1, 1, 1, 12)",0.7230019855504367,0.8721889772512202,28.147306974237825,SARIMAX
3,Attrition_Rate_Pct,"auto_arima(0, 1, 1)x(0, 0, 1, 12)",0.639215655700054,0.7617882726811316,26.743186351821645,auto_arima
4,Headcount,Naive,1.0833333333333333,1.384437310486346,0.232751086952627,Naive
